Time_Point,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5,Signal 6,Signal 7,Signal 8
33,25.5,25.55,0.96,0.42,0.6398,-0.3602,0.224282,0.025
34,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
35,25.5,25.55,0.96,0.42,0.6398,-0.3602,0.224282,0.025
36,25.5,25.55,0.96,0.42,0.6398,-0.3602,0.224282,0.025
37,25.7,25.75,1.09,0.36,0.6834,-0.3166,0.211712,0.0239
38,25.55,25.6,0.99,0.41,0.6509,-0.3491,0.221358,0.0247
39,25.55,25.6,0.99,0.41,0.6509,-0.3491,0.221358,0.0247
40,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
41,25.25,25.3,0.81,0.52,0.5821,-0.4179,0.236349,0.0258
42,25.35,25.4,0.87,0.48,0.6055,-0.3945,0.232063,0.0255
43,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
44,25.25,25.3,0.81,0.52,0.5821,-0.4179,0.236349,0.0258
45,25.35,25.4,0.87,0.48,0.6055,-0.3945,0.232063,0.0255
46,25.3,25.35,0.84,0.5,0.5939,-0.4061,0.234301,0.0257
47,25.35,25.4,0.87,0.48,0.6055,-0.3945,0.232063,0.0255
48,25.55,25.6,0.99,0.41,0.6509,-0.3491,0.221358,0.0247
49,25.65,25.85,1.06,0.37,0.6728,-0.3272,0.215065,0.0242
50,25.7,25.8,1.09,0.36,0.6834,-0.3166,0.211712,0.0239
51,25.7,25.75,1.09,0.36,0.6834,-0.3166,0.211712,0.0239
52,25.75,25.8,1.13,0.34,0.6939,-0.3061,0.208234,0.0236
53,25.8,25.85,1.16,0.33,0.7042,-0.2958,0.20464,0.0233
54,25.95,26,1.27,0.28,0.7341,-0.2659,0.193249,0.0223
55,25.9,25.95,1.23,0.3,0.7243,-0.2757,0.197139,0.0226
56,25.85,25.9,1.2,0.31,0.7144,-0.2856,0.200938,0.023
57,25.85,26,1.2,0.31,0.7144,-0.2856,0.200938,0.023
58,25.85,25.9,1.2,0.31,0.7144,-0.2856,0.200938,0.023
59,26,26.05,1.31,0.27,0.7437,-0.2563,0.18928,0.0219
60,26.05,26.1,1.35,0.26,0.753,-0.247,0.18524,0.0215
61,26,26.05,1.31,0.27,0.7437,-0.2563,0.18928,0.0219
62,26,26.05,1.31,0.27,0.7437,-0.2563,0.18928,0.0219
63,26,26.05,1.31,0.27,0.7437,-0.2563,0.18928,0.0219
64,26,26.2,1.31,0.27,0.7437,-0.2563,0.18928,0.0219
65,26.05,26.1,1.35,0.26,0.753,-0.247,0.18524,0.0215
66,26.05,26.1,1.35,0.26,0.753,-0.247,0.18524,0.0215
67,26.1,26.15,1.38,0.25,0.7622,-0.2378,0.181138,0.0211
68,26.1,26.15,1.38,0.25,0.7622,-0.2378,0.181138,0.0211
69,26.15,26.2,1.42,0.23,0.7711,-0.2289,0.176982,0.0207
70,26.15,26.3,1.42,0.23,0.7711,-0.2289,0.176982,0.0207
71,26.1,26.1,1.38,0.25,0.7622,-0.2378,0.181138,0.0211
72,26.4,26.45,1.62,0.18,0.8127,-0.1873,0.155706,0.0186
73,26.3,26.35,1.54,0.2,0.7967,-0.2033,0.164283,0.0195
74,26.2,26.35,1.46,0.22,0.7799,-0.2201,0.172782,0.0203
75,26.4,26.4,1.62,0.18,0.8127,-0.1873,0.155706,0.0186
76,26.45,26.5,1.66,0.17,0.8204,-0.1796,0.151408,0.0181
77,26.35,26.4,1.58,0.19,0.8048,-0.1952,0.16,0.019
78,26.25,26.3,1.5,0.21,0.7884,-0.2116,0.168547,0.0199
79,26.2,26.25,1.46,0.22,0.7799,-0.2201,0.172782,0.0203
80,26.25,26.3,1.5,0.21,0.7884,-0.2116,0.168547,0.0199
81,26.25,26.3,1.5,0.21,0.7884,-0.2116,0.168547,0.0199
82,26.3,26.35,1.54,0.2,0.7967,-0.2033,0.164283,0.0195
83,26.5,26.55,1.7,0.16,0.8279,-0.1721,0.147114,0.0177
84,26.5,26.55,1.7,0.16,0.8279,-0.1721,0.147114,0.0177
85,26.5,26.55,1.7,0.16,0.8279,-0.1721,0.147114,0.0177
86,26.35,26.3,1.58,0.19,0.8048,-0.1952,0.16,0.019
87,26.6,26.65,1.79,0.15,0.8422,-0.1578,0.138565,0.0168
88,26.6,26.65,1.79,0.15,0.8422,-0.1578,0.138565,0.0168
89,26.65,26.7,1.83,0.14,0.849,-0.151,0.134323,0.0163
90,26.55,26.6,1.74,0.16,0.8351,-0.1649,0.14283,0.0172
91,26.4,26.45,1.62,0.18,0.8127,-0.1873,0.155706,0.0186
92,26.45,26.5,1.66,0.17,0.8204,-0.1796,0.151408,0.0181
93,26.4,26.45,1.62,0.18,0.8127,-0.1873,0.155706,0.0186
94,26.25,26.3,1.5,0.21,0.7884,-0.2116,0.168547,0.0199
95,26.15,26.2,1.42,0.23,0.7711,-0.2289,0.176982,0.0207
96,26.3,26.35,1.54,0.2,0.7967,-0.2033,0.164283,0.0195
97,26.3,26.35,1.54,0.2,0.7967,-0.2033,0.164283,0.0195
98,26.45,26.5,1.66,0.17,0.8204,-0.1796,0.151408,0.0181
99,26.35,26.4,1.58,0.19,0.8048,-0.1952,0.16,0.019
100,26.5,26.55,1.7,0.16,0.8279,-0.1721,0.147114,0.0177
101,26.55,26.6,1.74,0.16,0.8351,-0.1649,0.14283,0.0172
102,26.65,26.7,1.83,0.14,0.849,-0.151,0.134323,0.0163
103,26.4,26.45,1.62,0.18,0.8127,-0.1873,0.155706,0.0186
104,26.45,26.5,1.66,0.17,0.8204,-0.1796,0.151408,0.0181
105,26.45,26.5,1.66,0.17,0.8204,-0.1796,0.151408,0.0181
106,26.45,26.55,1.66,0.17,0.8204,-0.1796,0.151408,0.0181
107,26.75,26.8,1.91,0.13,0.862,-0.138,0.125937,0.0154
108,26.55,26.6,1.74,0.16,0.8351,-0.1649,0.14283,0.0172
109,26.5,26.55,1.7,0.16,0.8279,-0.1721,0.147114,0.0177
110,26.45,26.5,1.66,0.17,0.8204,-0.1796,0.151408,0.0181
111,26.65,26.7,1.83,0.14,0.849,-0.151,0.134323,0.0163
112,26.85,26.9,2,0.11,0.8742,-0.1258,0.117719,0.0145
113,27.05,27.1,2.18,0.09,0.8961,-0.1039,0.101944,0.0128
114,27.15,27.2,2.27,0.08,0.9059,-0.0941,0.094452,0.0119
115,27.25,27.3,2.36,0.07,0.915,-0.085,0.087259,0.0111
116,27.15,27.2,2.27,0.08,0.9059,-0.0941,0.094452,0.0119
117,27.1,27.15,2.22,0.09,0.9011,-0.0989,0.098162,0.0123
118,27,27.05,2.13,0.1,0.8909,-0.1091,0.105795,0.0132
119,26.95,27,2.09,0.1,0.8855,-0.1145,0.10971,0.0136
120,27.15,27.2,2.27,0.08,0.9059,-0.0941,0.094452,0.0119
121,27.15,27.2,2.27,0.08,0.9059,-0.0941,0.094452,0.0119
122,27.15,27.2,2.27,0.08,0.9059,-0.0941,0.094452,0.0119
123,27.2,27.25,2.31,0.08,0.9106,-0.0894,0.090817,0.0115
124,27.15,27.2,2.27,0.08,0.9059,-0.0941,0.094452,0.0119
125,27.2,27.2,2.31,0.08,0.9106,-0.0894,0.090817,0.0115
126,27.3,27.35,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
127,27.35,27.4,2.45,0.06,0.9234,-0.0766,0.080384,0.0103
128,27.2,27.25,2.31,0.08,0.9106,-0.0894,0.090817,0.0115
129,27.4,27.45,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
130,27.2,27.25,2.31,0.08,0.9106,-0.0894,0.090817,0.0115
131,27.3,27.3,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
132,27.4,27.45,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
133,27.5,27.65,2.59,0.05,0.9347,-0.0653,0.070701,0.0092
134,27.5,27.55,2.59,0.05,0.9347,-0.0653,0.070701,0.0092
135,27.6,27.65,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
136,27.55,27.6,2.64,0.05,0.9382,-0.0618,0.067645,0.0088
137,27.5,27.55,2.59,0.05,0.9347,-0.0653,0.070701,0.0092
138,27.7,27.75,2.78,0.04,0.9477,-0.0523,0.059005,0.0078
139,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
140,27.9,28.05,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
141,28,28.05,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
142,27.8,27.85,2.87,0.04,0.9533,-0.0467,0.053685,0.0071
143,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
144,27.6,27.65,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
145,27.6,27.55,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
146,27.6,27.65,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
147,27.65,27.7,2.73,0.04,0.9447,-0.0553,0.061797,0.0081
148,27.7,27.75,2.78,0.04,0.9477,-0.0523,0.059005,0.0078
149,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
150,27.8,27.85,2.87,0.04,0.9533,-0.0467,0.053685,0.0071
151,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
152,27.9,27.95,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
153,28,28.05,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
154,27.9,27.95,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
155,27.85,27.95,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
156,27.9,28,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
157,27.95,28,3.02,0.03,0.9608,-0.0392,0.046357,0.0062
158,28,28,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
159,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
160,28,28.05,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
161,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
162,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
163,27.95,28,3.02,0.03,0.9608,-0.0392,0.046357,0.0062
164,28,28.2,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
165,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
166,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
167,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
168,28.1,28.15,3.16,0.02,0.9672,-0.0328,0.039793,0.0054
169,28,28.05,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
170,27.95,28,3.02,0.03,0.9608,-0.0392,0.046357,0.0062
171,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
172,27.8,27.85,2.87,0.04,0.9533,-0.0467,0.053685,0.0071
173,27.9,27.95,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
174,28.15,28.25,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
175,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
176,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
177,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
178,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
179,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
180,28.1,28.15,3.16,0.02,0.9672,-0.0328,0.039793,0.0054
181,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
182,27.95,28,3.02,0.03,0.9608,-0.0392,0.046357,0.0062
183,27.9,27.95,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
184,28,28.05,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
185,27.8,27.85,2.87,0.04,0.9533,-0.0467,0.053685,0.0071
186,27.9,27.95,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
187,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
188,27.95,28,3.02,0.03,0.9608,-0.0392,0.046357,0.0062
189,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
190,27.8,27.85,2.87,0.04,0.9533,-0.0467,0.053685,0.0071
191,27.95,28,3.02,0.03,0.9608,-0.0392,0.046357,0.0062
192,27.85,27.85,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
193,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
194,27.8,27.85,2.87,0.04,0.9533,-0.0467,0.053685,0.0071
195,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
196,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
197,27.9,27.95,2.97,0.03,0.9584,-0.0416,0.048713,0.0065
198,27.8,27.85,2.87,0.04,0.9533,-0.0467,0.053685,0.0071
199,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
200,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
201,27.7,27.75,2.78,0.04,0.9477,-0.0523,0.059005,0.0078
202,27.7,27.75,2.78,0.04,0.9477,-0.0523,0.059005,0.0078
203,27.6,27.65,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
204,27.65,27.7,2.73,0.04,0.9447,-0.0553,0.061797,0.0081
205,27.55,27.6,2.64,0.05,0.9382,-0.0618,0.067645,0.0088
206,27.6,27.65,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
207,27.7,27.75,2.78,0.04,0.9477,-0.0523,0.059005,0.0078
208,27.7,27.75,2.78,0.04,0.9477,-0.0523,0.059005,0.0078
209,27.6,27.7,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
210,27.5,27.55,2.59,0.05,0.9347,-0.0653,0.070701,0.0092
211,27.4,27.45,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
212,27.35,27.4,2.45,0.06,0.9234,-0.0766,0.080384,0.0103
213,27.4,27.45,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
214,27.3,27.35,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
215,27.3,27.35,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
216,27.1,27.15,2.22,0.09,0.9011,-0.0989,0.098162,0.0123
217,27.15,27.3,2.27,0.08,0.9059,-0.0941,0.094452,0.0119
218,27.25,27.3,2.36,0.07,0.915,-0.085,0.087259,0.0111
219,27.2,27.25,2.31,0.08,0.9106,-0.0894,0.090817,0.0115
220,27.4,27.45,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
221,27.35,27.4,2.45,0.06,0.9234,-0.0766,0.080384,0.0103
222,27.3,27.35,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
223,27.35,27.4,2.45,0.06,0.9234,-0.0766,0.080384,0.0103
224,27.25,27.2,2.36,0.07,0.915,-0.085,0.087259,0.0111
225,27.4,27.5,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
226,27.25,27.3,2.36,0.07,0.915,-0.085,0.087259,0.0111
227,27.35,27.4,2.45,0.06,0.9234,-0.0766,0.080384,0.0103
228,27.4,27.3,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
229,27.2,27.25,2.31,0.08,0.9106,-0.0894,0.090817,0.0115
230,27.35,27.4,2.45,0.06,0.9234,-0.0766,0.080384,0.0103
231,27.4,27.35,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
232,27.3,27.35,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
233,27.3,27.35,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
234,27.3,27.35,2.4,0.07,0.9193,-0.0807,0.083781,0.0107
235,27.2,27.25,2.31,0.08,0.9106,-0.0894,0.090817,0.0115
236,27.25,27.3,2.36,0.07,0.915,-0.085,0.087259,0.0111
237,27.25,27.3,2.36,0.07,0.915,-0.085,0.087259,0.0111
238,27.35,27.4,2.45,0.06,0.9234,-0.0766,0.080384,0.0103
239,27.4,27.45,2.5,0.06,0.9273,-0.0727,0.077071,0.0099
240,27.6,27.65,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
241,27.65,27.65,2.73,0.04,0.9447,-0.0553,0.061797,0.0081
242,27.6,27.65,2.68,0.05,0.9415,-0.0585,0.064677,0.0084
243,27.65,27.7,2.73,0.04,0.9447,-0.0553,0.061797,0.0081
244,27.85,27.9,2.92,0.03,0.9559,-0.0441,0.051156,0.0068
245,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
246,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
247,27.75,27.8,2.83,0.04,0.9506,-0.0494,0.056301,0.0074
248,27.95,28,3.02,0.03,0.9608,-0.0392,0.046357,0.0062
249,28,28.05,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
250,28.2,28.4,3.26,0.02,0.971,-0.029,0.035826,0.0049
251,28.25,28.3,3.31,0.02,0.9728,-0.0272,0.03396,0.0046
252,28.3,28.35,3.36,0.02,0.9744,-0.0256,0.032171,0.0044
253,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
254,28.3,28.35,3.36,0.02,0.9744,-0.0256,0.032171,0.0044
255,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
256,28.5,28.45,3.55,0.01,0.9802,-0.0198,0.025747,0.0036
257,28.6,28.65,3.65,0.01,0.9826,-0.0174,0.022948,0.0032
258,28.7,28.75,3.75,0.01,0.9848,-0.0152,0.020403,0.0029
259,28.65,28.7,3.7,0.01,0.9837,-0.0163,0.021645,0.003
260,28.75,28.8,3.8,0.01,0.9858,-0.0142,0.019221,0.0027
261,29,29.05,4.04,0.01,0.9899,-0.0101,0.014134,0.002
262,29,29.05,4.04,0.01,0.9899,-0.0101,0.014134,0.002
263,28.9,28.95,3.94,0.01,0.9884,-0.0116,0.016012,0.0023
264,29.05,29.1,4.09,0.01,0.9906,-0.0094,0.013268,0.0019
265,29.1,29.3,4.14,0.01,0.9913,-0.0087,0.012448,0.0018
266,29.1,29,4.14,0.01,0.9913,-0.0087,0.012448,0.0018
267,29.2,29.25,4.24,0,0.9924,-0.0076,0.010937,0.0016
268,29.35,29.4,4.39,0,0.9939,-0.0061,0.008969,0.0013
269,29.45,29.5,4.49,0,0.9948,-0.0052,0.007835,0.0012
270,29.15,29.2,4.19,0.01,0.9919,-0.0081,0.011671,0.0017
271,29.1,29.15,4.14,0.01,0.9913,-0.0087,0.012448,0.0018
272,29.05,29.1,4.09,0.01,0.9906,-0.0094,0.013268,0.0019
273,29.25,29.2,4.29,0,0.993,-0.007,0.010243,0.0015
274,29.25,29.3,4.29,0,0.993,-0.007,0.010243,0.0015
275,29.3,29.35,4.34,0,0.9934,-0.0066,0.009587,0.0014
276,29.45,29.5,4.49,0,0.9948,-0.0052,0.007835,0.0012
277,29.2,29.25,4.24,0,0.9924,-0.0076,0.010937,0.0016
278,29.25,29.3,4.29,0,0.993,-0.007,0.010243,0.0015
279,29.3,29.35,4.34,0,0.9934,-0.0066,0.009587,0.0014
280,29.25,29.3,4.29,0,0.993,-0.007,0.010243,0.0015
281,29.15,29.2,4.19,0.01,0.9919,-0.0081,0.011671,0.0017
282,29.1,29.15,4.14,0.01,0.9913,-0.0087,0.012448,0.0018
283,29.1,29.15,4.14,0.01,0.9913,-0.0087,0.012448,0.0018
284,29.3,29.45,4.34,0,0.9934,-0.0066,0.009587,0.0014
285,29.4,29.45,4.44,0,0.9943,-0.0057,0.008385,0.0012
286,29.2,29.1,4.24,0,0.9924,-0.0076,0.010937,0.0016
287,29.3,29.35,4.34,0,0.9934,-0.0066,0.009587,0.0014
288,29.1,29.15,4.14,0.01,0.9913,-0.0087,0.012448,0.0018
289,29.05,29.2,4.09,0.01,0.9906,-0.0094,0.013268,0.0019
290,28.95,29,3.99,0.01,0.9892,-0.0108,0.015048,0.0022
291,28.8,28.85,3.85,0.01,0.9867,-0.0133,0.018096,0.0026
292,28.85,28.8,3.9,0.01,0.9876,-0.0124,0.017027,0.0024
293,28.9,28.95,3.94,0.01,0.9884,-0.0116,0.016012,0.0023
294,28.8,28.85,3.85,0.01,0.9867,-0.0133,0.018096,0.0026
295,28.85,28.9,3.9,0.01,0.9876,-0.0124,0.017027,0.0024
296,28.85,28.9,3.9,0.01,0.9876,-0.0124,0.017027,0.0024
297,28.9,28.95,3.94,0.01,0.9884,-0.0116,0.016012,0.0023
298,28.7,28.9,3.75,0.01,0.9848,-0.0152,0.020403,0.0029
299,28.55,28.6,3.6,0.01,0.9814,-0.0186,0.024315,0.0034
300,28.45,28.5,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
301,28.45,28.5,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
302,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
303,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
304,28.3,28.35,3.36,0.02,0.9744,-0.0256,0.032171,0.0044
305,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
306,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
307,28.4,28.45,3.45,0.02,0.9775,-0.0225,0.028817,0.004
308,28.3,28.35,3.36,0.02,0.9744,-0.0256,0.032171,0.0044
309,28.3,28.35,3.36,0.02,0.9744,-0.0256,0.032171,0.0044
310,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
311,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
312,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
313,28.45,28.5,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
314,28.4,28.3,3.45,0.02,0.9775,-0.0225,0.028817,0.004
315,28.4,28.45,3.45,0.02,0.9775,-0.0225,0.028817,0.004
316,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
317,28.35,28.45,3.4,0.02,0.976,-0.024,0.030458,0.0042
318,28.4,28.45,3.45,0.02,0.9775,-0.0225,0.028817,0.004
319,28.45,28.5,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
320,28.45,28.4,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
321,28.5,28.4,3.55,0.01,0.9802,-0.0198,0.025747,0.0036
322,28.55,28.6,3.6,0.01,0.9814,-0.0186,0.024315,0.0034
323,28.6,28.65,3.65,0.01,0.9826,-0.0174,0.022948,0.0032
324,28.75,28.8,3.8,0.01,0.9858,-0.0142,0.019221,0.0027
325,28.8,28.85,3.85,0.01,0.9867,-0.0133,0.018096,0.0026
326,28.7,28.75,3.75,0.01,0.9848,-0.0152,0.020403,0.0029
327,28.6,28.65,3.65,0.01,0.9826,-0.0174,0.022948,0.0032
328,28.55,28.6,3.6,0.01,0.9814,-0.0186,0.024315,0.0034
329,28.5,28.55,3.55,0.01,0.9802,-0.0198,0.025747,0.0036
330,28.45,28.5,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
331,28.45,28.5,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
332,28.5,28.55,3.55,0.01,0.9802,-0.0198,0.025747,0.0036
333,28.45,28.5,3.5,0.01,0.9789,-0.0211,0.027247,0.0038
334,28.55,28.6,3.6,0.01,0.9814,-0.0186,0.024315,0.0034
335,28.55,28.6,3.6,0.01,0.9814,-0.0186,0.024315,0.0034
336,28.7,28.6,3.75,0.01,0.9848,-0.0152,0.020403,0.0029
337,28.65,28.75,3.7,0.01,0.9837,-0.0163,0.021645,0.003
338,28.6,28.65,3.65,0.01,0.9826,-0.0174,0.022948,0.0032
339,28.4,28.45,3.45,0.02,0.9775,-0.0225,0.028817,0.004
340,28.6,28.65,3.65,0.01,0.9826,-0.0174,0.022948,0.0032
341,28.5,28.55,3.55,0.01,0.9802,-0.0198,0.025747,0.0036
342,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
343,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
344,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
345,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
346,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
347,28.1,28.15,3.16,0.02,0.9672,-0.0328,0.039793,0.0054
348,28.05,28,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
349,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
350,28.25,28.45,3.31,0.02,0.9728,-0.0272,0.03396,0.0046
351,28.2,28.25,3.26,0.02,0.971,-0.029,0.035826,0.0049
352,28.25,28.15,3.31,0.02,0.9728,-0.0272,0.03396,0.0046
353,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
354,28,28.05,3.06,0.03,0.9631,-0.0369,0.044086,0.0059
355,28.05,28.1,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
356,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
357,28.05,28,3.11,0.03,0.9652,-0.0348,0.041898,0.0056
358,28.3,28.25,3.36,0.02,0.9744,-0.0256,0.032171,0.0044
359,28.35,28.4,3.4,0.02,0.976,-0.024,0.030458,0.0042
360,28.3,28.35,3.36,0.02,0.9744,-0.0256,0.032171,0.0044
361,28.15,28.2,3.21,0.02,0.9692,-0.0308,0.03777,0.0051
